NDT & E International,0,1,1,3,,
International Journal of Electrical Power & Energy Systems,1,0,0,4,,
Computers & Geosciences,1,0,0,4,,
Computer Speech & Language,1,0,0,4,,
Computers & Operations Research,1,0,0,4,,
Environmental Modelling & Software,1,0,0,4,,
AASRI Procedia,1,0,0,4,,
Ad Hoc Networks,1,0,0,4,,
Annals of Physics,0,1,0,2,,
Biomedical Signal Processing and Control,1,0,0,4,,
Case Studies in Construction Materials,0,0,1,1,,
Case Studies in Nondestructive Testing and Evaluation,0,0,1,1,,
Chemical Physics,0,1,0,2,,
Chemical Physics Letters,0,1,0,2,,
Composite Structures,0,1,1,3,,
Comptes Rendus Physique,0,1,0,2,,
Computational Materials Science,1,1,1,7,,
Computer Methods in Applied Mechanics and Engineering,1,0,0,4,,
Computerized Medical Imaging and Graphics,1,0,0,4,,
Computers and Geotechnics,1,0,0,4,,
Computers in Biology and Medicine,1,0,0,4,,
Computers in Human Behavior,1,0,0,4,,
Computers in Industry,1,0,0,4,,
Corrosion Science,0,0,1,1,,
Cryogenics,0,1,1,3,,
Current Opinion in Solid State and Materials Science,0,0,1,1,,
Discrete Applied Mathematics,1,0,0,4,,
Entertainment Computing,1,0,0,4,,
European Journal of Mechanics - B/Fluids,0,1,0,2,,
European Journal of Operational Research,1,0,0,4,,
Expert Systems with Applications,1,0,0,4,,
Finite Elements in Analysis and Design,1,0,0,4,,
Fire Safety Journal,0,0,1,1,,
Fluid Phase Equilibria,0,1,0,2,,
Graphical Models,1,0,0,4,,
IERI Procedia,1,0,0,4,,
Information Fusion,1,0,0,4,,
Information Sciences,1,0,0,4,,
Information Systems,1,0,0,4,,
International Journal of Approximate Reasoning,1,0,0,4,,
International Journal of Human-Computer Studies,1,0,0,4,,
International Journal of Medical Informatics,1,0,0,4,,
International Journal of Multiphase Flow,0,1,0,2,,
Journal of Alloys and Compounds,0,1,1,3,,
Journal of Archaeological Science,0,0,1,1,,
Journal of Computational Physics,0,1,0,2,,
Journal of Computational Science,1,1,0,6,,
Journal of Controlled Release,0,0,1,1,,
Journal of Geometry and Physics,0,1,0,2,,
Journal of Non-Newtonian Fluid Mechanics,0,1,0,2,,
Journal of Nuclear Materials,0,1,1,3,,
Journal of Photochemistry and Photobiology A: Chemistry,0,1,0,2,,
Journal of Power Sources,0,1,0,2,,
Journal of Radiation Research and Applied Sciences,0,0,1,1,,
Materials Chemistry and Physics,0,1,1,3,,
Mechanical Systems and Signal Processing,0,1,0,2,,
Medical Image Analysis,1,0,0,4,,
Microelectronic Engineering,1,1,1,7,,
Micron,0,1,1,3,,
Nuclear Engineering and Design,0,0,1,1,,
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,0,1,1,3,,
Nuclear Materials and Energy,0,1,1,3,,
Particuology,0,1,1,3,,
Pervasive and Mobile Computing,1,0,0,4,,
Physics Letters A,0,1,0,2,,
Physics Letters B,0,1,0,2,,
Physics of the Earth and Planetary Interiors,0,1,0,2,,
Physics Reports,0,1,0,2,,
Polymer,0,1,1,3,,
Progress in Materials Science,0,1,1,3,,
Scripta Materialia,0,1,1,3,,
Signal Processing,1,0,0,4,,
Solar Energy,0,1,1,3,,
Solid State Ionics,0,1,1,3,,
Superlattices and Microstructures,0,1,1,3,,
Surface and Coatings Technology,0,1,1,3,,
Surface Science,0,1,1,3,,
Telematics and Informatics,1,0,0,4,,
The Journal of Chemical Thermodynamics,0,1,0,2,,
Theoretical and Applied Fracture Mechanics,0,1,1,3,,
Tribology International,0,1,1,3,,
Ultramicroscopy,0,1,0,2,,
Wave Motion,0,1,1,3,,
