NDT & E International,0,1,1,2
International Journal of Electrical Power & Energy Systems,1,0,0,3
Computers & Geosciences,1,0,0,0
Computer Speech & Language,1,0,0,0
Computers & Operations Research,1,0,0,0
Environmental Modelling & Software,1,0,0,0
AASRI Procedia,1,0,0,0
Ad Hoc Networks,1,0,0,0
Annals of Physics,0,1,0,1
Biomedical Signal Processing and Control,1,0,0,0
Case Studies in Construction Materials,0,0,1,2
Case Studies in Nondestructive Testing and Evaluation,0,0,1,2
Chemical Physics,0,1,0,1
Chemical Physics Letters,0,1,0,1
Composite Structures,0,1,1,2
Comptes Rendus Physique,0,1,0,1
Computational Materials Science,1,1,1,2
Computer Methods in Applied Mechanics and Engineering,1,0,0,0
Computerized Medical Imaging and Graphics,1,0,0,0
Computers and Geotechnics,1,0,0,0
Computers in Biology and Medicine,1,0,0,0
Computers in Human Behavior,1,0,0,0
Computers in Industry,1,0,0,0
Corrosion Science,0,0,1,2
Cryogenics,0,1,1,2
Current Opinion in Solid State and Materials Science,0,0,1,2
Discrete Applied Mathematics,1,0,0,0
Entertainment Computing,1,0,0,0
European Journal of Mechanics - B/Fluids,0,1,0,1
European Journal of Operational Research,1,0,0,0
Expert Systems with Applications,1,0,0,0
Finite Elements in Analysis and Design,1,0,0,2
Fire Safety Journal,0,0,1,3
Fluid Phase Equilibria,0,1,0,1
Graphical Models,1,0,0,0
IERI Procedia,1,0,0,3
Information Fusion,1,0,0,0
Information Sciences,1,0,0,0
Information Systems,1,0,0,0
International Journal of Approximate Reasoning,1,0,0,0
International Journal of Human-Computer Studies,1,0,0,0
International Journal of Medical Informatics,1,0,0,0
International Journal of Multiphase Flow,0,1,0,1
Journal of Alloys and Compounds,0,1,1,2
Journal of Archaeological Science,0,0,1,3
Journal of Computational Physics,0,1,0,1
Journal of Computational Science,1,1,0,0
Journal of Controlled Release,0,0,1,2
Journal of Geometry and Physics,0,1,0,1
Journal of Non-Newtonian Fluid Mechanics,0,1,0,1
Journal of Nuclear Materials,0,1,1,2
Journal of Photochemistry and Photobiology A: Chemistry,0,1,0,1
Journal of Power Sources,0,1,0,2
Journal of Radiation Research and Applied Sciences,0,0,1,2
Materials Chemistry and Physics,0,1,1,2
Mechanical Systems and Signal Processing,0,1,0,0
Medical Image Analysis,1,0,0,0
Microelectronic Engineering,1,1,1,1
Micron,0,1,1,2
Nuclear Engineering and Design,0,0,1,2
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,0,1,1,1
Nuclear Materials and Energy,0,1,1,2
Particuology,0,1,1,1
Pervasive and Mobile Computing,1,0,0,0
Physics Letters A,0,1,0,1
Physics Letters B,0,1,0,1
Physics of the Earth and Planetary Interiors,0,1,0,1
Physics Reports,0,1,0,1
Polymer,0,1,1,2
Progress in Materials Science,0,1,1,2
Scripta Materialia,0,1,1,2
Signal Processing,1,0,0,0
Solar Energy,0,1,1,2
Solid State Ionics,0,1,1,2
Superlattices and Microstructures,0,1,1,2
Surface and Coatings Technology,0,1,1,2
Surface Science,0,1,1,2
Telematics and Informatics,1,0,0,0
The Journal of Chemical Thermodynamics,0,1,0,1
Theoretical and Applied Fracture Mechanics,0,1,1,2
Tribology International,0,1,1,2
Ultramicroscopy,0,1,0,1
Wave Motion,0,1,1,1
